File	BHL Page ID	Instance of	Published In	Published In QID	Collection	Sponsor	Bibliography ID	Illustrator	Engraver	Lithographer	Ref URL for Authors	Inception	Names	Flickr ID	Flickr Tags
Oiseaux brillans du Brésil (20740691255).jpg	47697176	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20740691255	['Natural History Museum Library, London', 'bhl:page=47697176', 'dc:identifier=http://biodiversitylibrary.org/page/47697176', 'bird', 'birds', 'ornithology', 'Brazil', 'taxonomy:binomial=Galbulus auratus', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:binomial=Galbula ruficauda', 'taxonomy:common=rufous-tailed jacamar']
Oiseaux brillans du Brésil (20740730325).jpg	47697273	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20740730325	['Natural History Museum Library, London', 'bhl:page=47697273', 'dc:identifier=http://biodiversitylibrary.org/page/47697273', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:binomial=Pyrocephalus rubinus', 'taxonomy:common=Vermilion flycatcher', 'taxonomy:binomial=Muscicapa rubinaea', 'taxonomy:common=Moucherolle Rubin', 'HistSciArt']
Oiseaux brillans du Brésil (20740751265).jpg	47697297	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20740751265	['Natural History Museum Library, London', 'bhl:page=47697297', 'dc:identifier=http://biodiversitylibrary.org/page/47697297', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:common=turquoise tanager', 'taxonomy:binomial=Tangara mexicana', 'taxonomy:binomial=Tanagra mexicana', 'taxonomy:common=Tangara Diable-Enrhume']
Oiseaux brillans du Brésil (20740776295).jpg	47697329	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20740776295	['Natural History Museum Library, London', 'bhl:page=47697329', 'dc:identifier=http://biodiversitylibrary.org/page/47697329', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:common=lance-tailed manakin', 'taxonomy:binomial=Chiroxiphia lanceolata', 'taxonomy:binomial=Pipra caudata', 'taxonomy:common=Manakin aux Longus Pennes', 'taxonomy:class=Aves', 'taxonomy:order=Passeriformes', 'taxonomy:family=Pipridae']
Oiseaux brillans du Brésil (20740821675).jpg	47697381	Illustration			Natural History Museum Library, London			Q10340184		Q131861745				20740821675	['Natural History Museum Library, London', 'bhl:page=47697381', 'dc:identifier=http://biodiversitylibrary.org/page/47697381', 'bird', 'birds', 'ornithology', 'Brazil', 'taxonomy:binomial=Trochilus pella', 'artist:viaf=90724187', 'artist:name=Jean-Theodore Descourtilz', 'taxonomy:binomial=Topaza pella', 'taxonomy:common=crimson topaz', 'taxonomy:common=Colibri Topaze', 'HistSciArt']
Oiseaux brillans du Brésil (20740851475).jpg	47697413	Illustration			Natural History Museum Library, London			Q10340184		Q131861745				20740851475	['Natural History Museum Library, London', 'bhl:page=47697413', 'dc:identifier=http://biodiversitylibrary.org/page/47697413', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean-Theodore Descourtilz', 'taxonomy:binomial=Baryphonus cyanocephalus', 'taxonomy:binomial=Momotus momota', 'taxonomy:common=Amazonian motmot', 'taxonomy:common=Blue-crowned Motmot', 'taxonomy:common=Momot Houtou', 'HistSciArt']
Oiseaux brillans du Brésil (20747645561).jpg	47697293	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20747645561	['Natural History Museum Library, London', 'bhl:page=47697293', 'dc:identifier=http://biodiversitylibrary.org/page/47697293', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:common=red-necked tanager', 'taxonomy:binomial=Tangara cyanocephala', 'taxonomy:binomial=Tanagra cyanocephala', 'taxonomy:common=Tangara a Tete Bleue']
Oiseaux brillans du Brésil (20747752371).jpg	47697417	Illustration			Natural History Museum Library, London			Q10340184		Q131861745				20747752371	['Natural History Museum Library, London', 'bhl:page=47697417', 'dc:identifier=http://biodiversitylibrary.org/page/47697417', 'bird', 'birds', 'ornithology', 'Brazil', 'taxonomy:', 'taxonomy:binomial=Columba passerina', 'artist:name=Jean-Theodore Descourtilz', 'artist:viaf=90724187', 'taxonomy:common=common ground dove', 'taxonomy:binomial=Columbina passerina', 'taxonomy:common=Colombe Cocotzin', 'HistSciArt']
Oiseaux brillans du Brésil Planche 16 (Tersina viridis).jpg	47697196	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20714468166	['Natural History Museum Library, London', 'bhl:page=47697196', 'dc:identifier=http://biodiversitylibrary.org/page/47697196', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:common=swallow tanager', 'taxonomy:binomial=Tersina viridis', 'taxonomy:binomial=Proenias tersina', 'taxonomy:common=Cersine Bleue']
Oiseaux brillans du Brésil Planche 18 (Cotinga maculata) (cropped).jpg	47697257	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20740716645	['Natural History Museum Library, London', 'bhl:page=47697257', 'dc:identifier=http://biodiversitylibrary.org/page/47697257', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:binomial=Cotinga amabilis', 'taxonomy:common=lovely cotinga', 'taxonomy:binomial=Ampelis cotinga', 'taxonomy:common=Cotinga Cordon-bleu']
Oiseaux brillans du Brésil Planche 18 (Cotinga maculata).jpg	47697257	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20740716645	['Natural History Museum Library, London', 'bhl:page=47697257', 'dc:identifier=http://biodiversitylibrary.org/page/47697257', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:binomial=Cotinga amabilis', 'taxonomy:common=lovely cotinga', 'taxonomy:binomial=Ampelis cotinga', 'taxonomy:common=Cotinga Cordon-bleu']
Oiseaux brillans du Brésil Planche 20 (Xipholena atropurpurea).jpg	47697265	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20553968169	['Natural History Museum Library, London', 'bhl:page=47697265', 'dc:identifier=http://biodiversitylibrary.org/page/47697265', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:common=Pompadour cotinga', 'taxonomy:binomial=Xipholena punicea', 'taxonomy:common=Cotinga Pacapaca', 'taxonomy:binomial=Ampelis pompadora', 'HistSciArt']
Oiseaux brillans du Brésil Planche 31 (Stephanophorus diadematus).jpg	47697309	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20118161414	['Natural History Museum Library, London', 'bhl:page=47697309', 'dc:identifier=http://biodiversitylibrary.org/page/47697309', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:binomial=Stephanophorus diadematus', 'taxonomy:common=diademed tanager', 'taxonomy:common=Euphone Diademe', 'taxonomy:binomial=Euphonia diademata', 'HSAIG']
Oiseaux brillans du Brésil Planche 41 (Pyroderus scutatus).jpg	47697349	Illustration			Natural History Museum Library, London			Q10340184		Q131861745				20119831883	['Natural History Museum Library, London', 'bhl:page=47697349', 'dc:identifier=http://biodiversitylibrary.org/page/47697349', 'bird', 'birds', 'ornithology', 'Brazil', 'taxonomy:common=Coracine ensanglantee', 'artist:viaf=90724187', 'artist:name=Jean-Theodore Descourtilz', 'taxonomy:binomial=Pyroderus scutatus', 'taxonomy:common=red-ruffed fruitcrow', 'taxonomy:binomial=Coracina scutata']
Oiseaux brillans du Brésil Planche 59 (Eudocimus ruber).jpg	47697421	Illustration			Natural History Museum Library, London			Q10340184		Q131861745				20714617736	['Natural History Museum Library, London', 'bhl:page=47697421', 'dc:identifier=http://biodiversitylibrary.org/page/47697421', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:name=Jean-Theodore Descourtilz', 'artist:viaf=90724187', 'taxonomy:binomial=Ibis rubra', 'taxonomy:binomial=Eudocimus ruber', 'taxonomy:common=scarlet ibis', 'taxonomy:common=Ibis Rouge', 'HistSciArt']
